optimgain,TimeElapsed,EpRewMean,entloss,EpLenMean,EpisodesSoFar,entropy,surrgain,EpThisIter,ev_tdlam_before,TimestepsSoFar,meankl
0.030141616,2.956662178039551,14.139319777467364,0.0,17.9,251,4.240013,0.030141616,251,0.012963652610778809,4996,0.008582656
0.033159662,5.578426361083984,27.912503709017347,0.0,25.725,475,4.224364,0.033159662,224,0.37460243701934814,9970,0.008909362
0.032319196,8.175357341766357,42.24721838700215,0.0,32.8,618,4.221024,0.032319196,143,0.3113623857498169,14982,0.008518952
0.03313216,10.849647283554077,54.8683679218809,0.0,39.675,734,4.19922,0.03313216,116,0.421255886554718,19926,0.008719976
0.030592754,13.544311761856079,88.39125167741285,0.0,54.6,826,4.179291,0.030592754,92,0.3512728214263916,24901,0.008642005
0.025234692,16.22308039665222,127.37151365820687,0.0,74.225,895,4.1657896,0.025234692,69,0.37849533557891846,29999,0.008021316
0.027034698,18.901973247528076,169.62214755729923,0.0,86.4,953,4.158863,0.027034698,58,0.5772102475166321,34929,0.007837986
0.021361658,21.507742881774902,196.9618043043665,0.0,102.4,1003,4.126686,0.021361658,50,0.740373969078064,39956,0.007458591
0.022795312,24.154839515686035,208.00516266871927,0.0,105.6,1051,4.133544,0.022795312,48,0.8457196950912476,44987,0.007038057
0.019227682,26.793617725372314,226.56168080705964,0.0,110.775,1097,4.1116467,0.019227682,46,0.9264512360095978,49989,0.006602198
0.024416689,29.624707460403442,224.71248039855473,0.0,108.425,1142,4.098223,0.024416689,45,0.9623372033238411,54924,0.0074413256
0.025856014,32.25584959983826,246.18529213988768,0.0,114.025,1186,4.086836,0.025856014,44,0.9749393239617348,59944,0.006455726
0.025065094,34.87876105308533,256.1241614078261,0.0,117.6,1229,4.0974317,0.025065094,43,0.9782100133597851,64990,0.006361646
0.028179675,37.496421098709106,276.2469297683465,0.0,124.25,1269,4.0864263,0.028179675,40,0.9466467648744583,69960,0.006939055
0.027836002,40.12516379356384,295.7655893487223,0.0,125.65,1309,4.0815415,0.027836002,40,0.944043718278408,74986,0.0071719335
0.025442023,42.71543788909912,308.98388259184986,0.0,132.15,1346,4.0607123,0.025442023,37,0.9607026614248753,79885,0.006816496
0.025012933,45.34928226470947,323.22055614086827,0.0,134.175,1384,4.0366273,0.025012933,38,0.9687204845249653,84946,0.0053390265
0.028472189,48.005821228027344,339.92869402895076,0.0,138.425,1420,4.026757,0.028472189,36,0.9800652600824833,89938,0.0063425186
0.026524426,50.61592888832092,344.35268489448276,0.0,137.65,1456,4.0146422,0.026524426,36,0.9861426809802651,94900,0.0075169676
0.02682529,53.21972680091858,368.3075960333325,0.0,142.05,1491,3.9660897,0.02682529,35,0.986832058057189,99884,0.0072696237
0.025488192,55.83543634414673,376.9843155879518,0.0,145.8,1526,3.9664524,0.025488192,35,0.9534045681357384,104989,0.0067512025
0.021903075,58.35448479652405,394.0371847672517,0.0,149.775,1559,3.9399176,0.021903075,33,0.9842441715300083,109902,0.005249176
0.023991242,61.01021885871887,392.1737529151425,0.0,148.75,1592,3.9223638,0.023991242,33,0.9655795097351074,114859,0.0048985295
0.02670779,63.60978078842163,404.4524251006636,0.0,151.35,1625,3.9204152,0.02670779,33,0.9795951265841722,119885,0.0056170593
0.031921264,66.209796667099,429.46257330453625,0.0,156.675,1657,3.9180458,0.031921264,32,0.9748420175164938,124955,0.0065557784
0.02347033,68.81487107276917,456.08986337196956,0.0,166.925,1686,3.9037304,0.02347033,29,0.9418599344789982,129944,0.0058261887
0.028420312,71.41513633728027,506.8084078641803,0.0,180.75,1714,3.886089,0.028420312,28,0.8838901445269585,134976,0.0061446778
0.025578668,74.03134822845459,534.749736959345,0.0,187.0,1740,3.8447247,0.025578668,26,0.9542211517691612,139944,0.00647204
0.023677632,76.67750835418701,592.3985398329129,0.0,202.475,1764,3.8340883,0.023677632,24,0.9639771357178688,144880,0.0059847566
0.027276974,79.19921016693115,649.4411802921733,0.0,217.8,1786,3.8355944,0.027276974,22,0.9630687423050404,149788,0.00609803
0.025779102,81.8378369808197,701.7055433637988,0.0,233.575,1807,3.8078618,0.025779102,21,0.9669116958975792,154822,0.0062605096
0.02625362,84.40308737754822,756.2788371278077,0.0,252.8,1826,3.76329,0.02625362,19,0.9476374015212059,159900,0.0059771882
0.02393894,87.02265310287476,813.6625332486987,0.0,273.85,1844,3.7578058,0.02393894,18,0.9618546105921268,164991,0.0052860407
0.021616785,89.6279182434082,881.5693616183707,0.0,295.7,1858,3.7363265,0.021616785,14,0.9300610944628716,169693,0.0052156425
0.022966515,92.17902135848999,978.1928621825475,0.0,328.75,1872,3.7280257,0.022966515,14,0.9675973914563656,174786,0.0048279357
0.023572832,94.74475836753845,1018.0940884365484,0.0,339.3,1887,3.7124894,0.023572832,15,0.9711607396602631,179749,0.005249887
0.022828808,97.38005638122559,1025.427719013905,0.0,345.0,1902,3.705947,0.022828808,15,0.9001700952649117,184989,0.0048582247
0.028181897,99.9337260723114,1111.2399193693454,0.0,373.225,1913,3.6821032,0.028181897,11,0.9652227610349655,189950,0.005812855
0.03518014,102.50931167602539,1142.1882134126074,0.0,383.75,1926,3.6734805,0.03518014,13,0.92725620418787,194849,0.0061279107
0.024044955,105.11207962036133,1260.945102687969,0.0,417.65,1937,3.6671278,0.024044955,11,0.9790926687419415,199852,0.005404072
0.017069736,107.69721007347107,1305.2494725085717,0.0,430.1,1947,3.6739151,0.017069736,10,0.9295223951339722,204679,0.005648766
