#{"t_start": 1533039087.7004023, "env_id": "Hopper-v2"}
r,l,t
12.050639,12,3.933312
8.795162,12,3.9384
9.516093,13,3.944006
7.792424,10,3.948176
36.834888,30,3.960824
11.271106,22,3.970232
28.061516,24,3.98027
9.758199,12,3.985364
13.96625,18,3.993049
20.336062,21,4.001894
22.580854,22,4.011332
65.578208,44,4.029892
21.491204,25,4.040697
6.385526,9,4.045126
17.44481,23,4.055017
63.541972,40,4.072053
28.515336,23,4.081749
10.897599,24,4.091919
14.305305,17,4.099075
16.161481,17,4.106261
7.508702,15,4.112696
69.909932,65,4.140245
12.15275,17,4.147381
28.894801,33,4.161563
17.169604,17,4.16876
54.980945,47,4.188921
6.11169,10,4.193209
18.272755,23,4.203106
10.31659,12,4.208092
12.531689,34,4.222667
9.479831,14,4.22861
13.293684,16,4.235419
53.45044,57,4.259376
9.557002,21,4.268376
7.15855,11,4.273123
34.109499,27,4.284532
6.923694,10,4.2887
7.790939,15,4.29509
10.158983,19,4.303166
5.732584,8,4.306489
25.281947,25,4.317138
37.0041,36,4.33259
6.169641,9,4.33631
32.611884,37,4.351359
100.91138,66,4.379943
6.90245,9,4.383964
5.53841,10,4.388359
27.981277,27,4.400329
45.882564,34,4.415157
10.957395,15,4.421654
15.785279,19,4.429945
6.54344,8,4.433449
8.490932,11,4.438179
13.276479,15,4.444635
10.473678,16,4.451659
6.801321,9,4.455664
9.747343,12,4.460792
10.627698,13,4.466434
14.444892,15,4.472968
41.439795,46,4.493286
35.610504,44,4.512851
16.165978,15,4.519404
7.400675,10,4.523757
90.478751,51,4.545943
63.75762,40,4.563166
16.518979,16,4.570231
8.212306,13,4.576039
61.3689,48,4.596949
11.636727,14,4.603019
11.042639,16,4.610013
36.681806,30,4.62317
4.891415,8,4.626619
11.855868,23,4.636767
13.090984,17,4.644912
28.37215,34,4.660005
8.846204,11,4.664821
9.769837,12,4.670002
7.3133,10,4.674208
89.569902,52,4.694529
7.433598,17,4.701287
63.331536,41,4.717318
7.874419,15,4.723307
9.691765,15,4.729209
11.163695,12,4.733882
31.110108,46,4.751966
36.066891,31,4.764211
8.887256,12,4.768886
21.1754,34,4.782531
19.971382,20,4.790467
6.607553,10,4.794358
9.158631,13,4.799553
10.972862,13,4.804708
26.620291,24,4.814292
10.223797,12,4.818945
31.711999,32,4.831455
10.279759,13,4.836475
7.558427,11,4.840835
10.521733,12,4.845577
20.83772,21,4.854373
6.544511,10,4.858636
19.150622,17,4.866109
25.037122,22,4.875729
9.701013,10,4.880164
23.43295,25,4.89104
31.088781,40,4.908581
67.910071,44,4.927774
8.422319,12,4.932974
12.133386,16,4.93999
21.126935,20,4.948681
7.598917,11,4.95346
10.732921,19,4.961798
6.221052,9,4.965668
40.11458,33,4.980256
13.693641,16,4.987259
17.050539,24,4.997776
8.943393,14,5.003926
17.428987,17,5.011347
17.899519,16,5.018307
26.169546,25,5.029239
12.537313,14,5.035277
6.64121,25,5.046152
11.157262,12,5.05149
13.290287,16,5.058535
7.794678,15,5.065063
95.471629,64,5.093366
9.711122,14,5.09932
12.862837,14,5.105505
58.96375,39,5.122356
42.136641,55,5.146249
19.854276,21,5.155571
6.454125,11,5.160487
7.991692,13,5.166262
7.1086,10,5.170548
12.078375,14,5.176543
9.204411,27,5.188503
7.752909,13,5.194089
14.946153,17,5.201476
6.62991,9,5.205281
12.450195,14,5.211248
7.24627,11,5.216074
10.689293,20,5.224853
35.550724,28,5.236915
8.654672,11,5.241746
25.157247,23,5.252463
17.583906,16,5.259474
11.206342,12,5.264738
10.356414,17,5.272027
10.901993,13,5.277672
10.735339,14,5.283825
16.618856,20,5.292495
27.926919,25,5.30325
11.120585,22,5.312877
7.561691,10,5.317133
19.302059,22,5.32686
13.975445,20,5.335593
18.261413,23,5.3458
11.092669,14,5.351889
5.167539,18,5.359842
9.131927,19,5.368194
12.670641,15,5.374752
12.391124,20,5.383576
9.987645,13,5.389097
6.870313,16,5.396172
8.813461,19,5.404554
22.156571,42,5.4229
29.143308,33,5.437274
8.528655,14,5.443445
7.892347,10,5.447626
7.057621,12,5.45297
8.868002,27,5.464841
11.286587,16,5.471851
33.37975,30,5.484878
134.957785,83,5.520828
14.153264,32,5.534734
6.436441,13,5.54043
5.945907,10,5.5448
164.580683,99,5.587309
14.755966,15,5.593746
12.245723,13,5.599446
6.339875,9,5.603406
12.451727,13,5.609082
23.53627,27,5.620931
18.856286,25,5.631852
6.795105,14,5.638026
7.987629,28,5.650283
65.402258,40,5.667706
11.271883,14,5.673765
18.023409,26,5.685229
8.504048,13,5.690817
8.760823,21,5.699914
5.847734,9,5.703938
40.22774,33,5.718328
10.807749,19,5.726671
10.792032,12,5.731868
7.624822,21,5.74108
30.53673,24,5.751628
43.289427,32,5.765256
14.601595,15,5.771852
14.178633,22,5.781569
7.50202,17,5.789042
6.232701,10,5.793444
37.714589,30,5.806477
20.789361,20,5.815402
68.356949,41,5.833457
12.141253,14,5.839511
93.933886,51,5.862391
7.833474,11,5.867058
37.01426,45,5.886861
19.3818,18,5.894781
45.110949,35,5.909992
29.523294,33,5.924646
12.054067,22,5.934212
41.521804,45,6.42369
11.313797,13,6.429242
5.536581,14,6.436192
52.651585,41,6.45479
11.550783,17,6.462227
26.297974,32,6.476916
23.660651,26,6.488616
89.709651,50,6.510252
122.167235,65,6.538331
139.320675,79,6.572734
11.212963,13,6.578373
11.832534,23,6.588578
81.970682,49,6.610554
149.089814,87,6.648511
24.425781,30,6.661786
41.348145,33,6.676271
57.980235,40,6.693926
7.057613,30,6.707038
191.745729,100,6.750304
76.217745,47,6.770306
55.206353,40,6.787899
64.484444,46,6.807785
86.471288,49,6.829063
18.250854,18,6.836822
92.017415,64,6.864848
16.842779,27,6.876822
18.105356,23,6.886946
13.05651,17,6.894478
82.888536,51,6.91615
91.564557,52,6.93869
53.113657,40,6.956319
20.097898,21,6.965516
6.434717,9,6.969396
77.761016,45,6.988741
7.15146,15,6.995368
71.082721,42,7.013805
9.179747,12,7.018889
20.366328,20,7.027684
19.424253,24,7.038317
6.197942,13,7.044076
15.015138,21,7.053861
10.797436,17,7.061376
4.644529,10,7.065808
13.647313,22,7.075518
7.753231,17,7.08312
21.20994,34,7.098256
14.138869,23,7.108521
10.577424,16,7.115328
108.585385,61,7.139371
155.089022,94,7.179522
58.054475,37,7.195997
