ev_tdlam_before,EpisodesSoFar,entloss,surrgain,EpThisIter,EpRewMean,EpLenMean,meankl,optimgain,TimestepsSoFar,TimeElapsed,entropy
0.021976709365844727,32,0.0,0.044708587,32,13.156476921483772,19.40625,0.007797783,0.044708587,621,0.6415929794311523,4.244994
0.2416297197341919,64,0.0,0.045197487,32,17.993792896672677,19.95,0.007682605,0.045197487,1288,1.0291903018951416,4.228973
0.35420191287994385,96,0.0,0.044327095,32,23.653771277715713,24.525,0.007993795,0.044327095,2144,1.5023417472839355,4.2033105
0.2585296630859375,128,0.0,0.03475684,32,38.149725812580435,33.75,0.0077123684,0.03475684,3273,2.1221365928649902,4.203917
0.17519479990005493,160,0.0,0.038333233,32,55.06212865771522,38.375,0.00691467,0.038333233,4476,2.7886650562286377,4.1960692
0.24411338567733765,192,0.0,0.0372213,32,66.20746924251435,44.625,0.0076615256,0.0372213,6051,3.6573781967163086,4.197264
0.1224820613861084,224,0.0,0.031565025,32,96.71054295827635,54.675,0.006777901,0.031565025,7869,4.618441581726074,4.1677823
0.26055818796157837,256,0.0,0.028188277,32,133.7630864595063,71.45,0.007429612,0.028188277,10218,5.864632844924927,4.1546636
0.3619915246963501,288,0.0,0.031066295,32,146.6157330537215,76.95,0.007924269,0.031066295,12664,7.1679627895355225,4.140334
0.5907544195652008,320,0.0,0.027922038,32,168.3777102037333,80.95,0.0070647323,0.027922038,15319,8.575397253036499,4.144852
0.7152928411960602,352,0.0,0.026486665,32,184.81125498777254,88.375,0.0071113943,0.026486665,18259,10.101276397705078,4.1308675
0.7683819383382797,384,0.0,0.024159225,32,191.23053114563226,91.825,0.007235473,0.024159225,21233,11.69502329826355,4.1071873
0.8926664888858795,416,0.0,0.023665277,32,205.93996762111783,96.55,0.007095308,0.023665277,24329,13.298868179321289,4.1099877
0.9126780033111572,448,0.0,0.024306027,32,204.58715156167744,96.775,0.0060099703,0.024306027,27457,14.950226068496704,4.065183
0.9254111424088478,480,0.0,0.024990184,32,215.18328534066677,99.85,0.005689166,0.024990184,30638,16.61358904838562,4.073944
0.9648913070559502,512,0.0,0.026611,32,217.0993168219924,99.8,0.0056734323,0.026611,33864,18.353055953979492,4.0643287
0.9795669224113226,544,0.0,0.027022606,32,222.96019333153964,100.725,0.006920781,0.027022606,37090,20.043375492095947,4.0871296
0.9234195873141289,576,0.0,0.02504427,32,235.67219790406526,108.2,0.0060716104,0.02504427,40624,21.904350519180298,4.0676003
0.9629658944904804,608,0.0,0.029016502,32,254.53656952679157,114.15,0.0075223153,0.029016502,44291,23.8189218044281,4.075804
0.9470545463263988,640,0.0,0.025373777,32,275.90148706287147,123.3,0.0070375293,0.025373777,48300,25.91524910926819,4.0635686
0.948574285954237,672,0.0,0.028165353,32,298.3519134581089,131.05,0.006694092,0.028165353,52487,28.07742691040039,4.0442796
0.9661515913903713,704,0.0,0.02470858,32,297.56683136224746,127.775,0.00619872,0.02470858,56589,30.196640014648438,4.037813
0.9527191519737244,736,0.0,0.024999715,32,339.2065579921007,140.55,0.00560188,0.024999715,61187,32.5520281791687,4.034153
0.947894211858511,768,0.0,0.024219295,32,357.9601893365383,148.0,0.0064391964,0.024219295,65979,34.99522304534912,4.0051208
0.9181688278913498,800,0.0,0.02502246,32,394.09418533444403,160.55,0.0050355205,0.02502246,71209,37.727094411849976,4.01204
0.911888599395752,832,0.0,0.024451112,32,419.0202086120844,166.45,0.0057069394,0.024451112,76587,40.541982889175415,3.993187
0.9156242907047272,864,0.0,0.022090334,32,487.75889905691145,188.0,0.005386472,0.022090334,82668,43.70022940635681,3.9777675
