#{"t_start": 1533046260.8497899, "env_id": "Hopper-v2"}
r,l,t
177.575765,87,6.949315
150.460611,78,6.983641
231.974746,124,7.038099
212.298507,97,7.081475
168.069738,79,7.115774
164.758979,125,7.170585
219.210966,96,7.212976
61.501878,38,7.230145
95.839849,66,7.259281
62.709828,38,7.276182
167.863478,87,7.314405
60.635775,96,7.357079
224.600662,99,7.400716
100.223645,56,7.425029
206.861207,98,7.468287
152.597128,74,7.502389
80.768509,60,7.530533
122.176289,66,7.558423
116.874517,67,7.587052
217.125856,108,7.633888
233.887567,102,7.678429
53.565075,35,7.694216
96.122139,53,7.717674
116.278477,61,7.74386
194.226142,91,7.78297
211.305157,94,8.046747
72.305898,43,8.065756
194.311725,86,8.1033
168.087846,83,8.139223
213.926026,95,8.180403
213.919961,98,8.223378
215.697324,96,8.265496
174.774276,84,8.302091
221.681477,102,8.347622
48.675255,30,8.361377
48.13252,29,8.37447
214.335522,94,8.415554
219.900814,97,8.457561
177.111916,89,8.495932
179.504478,82,8.531898
208.150815,96,8.573479
214.805328,97,8.615793
247.128066,126,8.670784
166.571845,81,8.706451
214.763247,107,8.753103
168.385562,80,8.788186
202.969396,93,8.828205
216.211034,94,8.869395
184.891235,84,8.906127
195.419318,89,8.945086
150.924716,74,8.977173
67.807713,41,8.995635
193.590782,89,9.03499
212.347802,97,9.077147
168.847367,81,9.112634
187.582806,86,9.149514
10.785117,38,9.166686
224.206886,96,9.456521
212.914589,93,9.49771
291.54431,140,9.557726
236.767827,106,9.603258
60.810484,37,9.619807
207.550134,91,9.659615
212.517483,95,9.70109
231.346194,107,9.748013
209.322907,97,9.790955
216.949174,95,9.833055
237.923291,116,9.884094
194.409463,94,9.925857
148.50058,92,9.967952
227.719344,102,10.013285
63.592367,41,10.032356
158.524886,76,10.066694
229.453083,110,10.114952
223.428512,110,10.160945
90.010151,52,10.183185
213.632131,92,10.222126
196.510935,89,10.259458
253.525415,126,10.31219
165.636271,79,10.345351
252.71093,105,10.389065
223.707371,119,10.438876
195.85131,89,10.47603
89.648863,51,10.497872
190.328815,92,10.536653
182.115264,84,10.571879
153.595544,76,10.603149
204.3094,91,10.641353
206.080659,97,10.68196
102.270597,70,10.97159
221.483574,104,11.017793
214.078256,95,11.059907
189.505362,88,11.098322
208.538615,95,11.139951
223.587309,110,11.18725
220.455995,110,11.235341
235.327785,105,11.281211
215.60384,94,11.322688
191.687524,104,11.367833
241.916136,104,11.41313
172.354223,80,11.448006
173.889342,81,11.483552
188.445242,84,11.520218
214.862784,97,11.562621
202.216562,90,11.602165
58.468226,35,11.617984
231.179029,114,11.667586
204.101627,92,11.708192
263.296094,120,11.760493
99.979076,62,11.78762
198.677643,89,11.826301
192.792423,88,11.864472
229.694939,97,11.907441
241.139673,118,11.958784
177.643128,91,11.998059
190.766931,87,12.035589
187.744099,91,12.072368
216.545251,137,12.129754
189.747961,87,12.167742
238.633925,116,12.218035
66.950849,39,12.235557
199.322465,88,12.571449
214.140149,95,12.611009
240.66538,116,12.659708
216.714898,97,12.700294
221.20354,98,12.741546
213.772259,95,12.781635
210.940419,92,12.820293
196.44271,93,12.859041
195.88444,91,12.897
202.216482,89,12.934024
212.979728,100,12.975576
213.725827,97,13.015947
227.66373,100,13.057387
240.547989,114,13.104962
255.937167,114,13.152507
223.496599,103,13.195725
227.392964,102,13.23821
170.898249,78,13.270771
214.658451,93,13.309544
211.670599,92,13.348044
229.769114,109,13.393306
188.306512,89,13.430415
197.077974,92,13.468909
243.305554,116,13.517478
222.386128,108,13.56292
212.50369,116,13.611157
228.032582,101,13.653959
205.347931,93,13.692949
211.016872,96,13.733487
216.384458,94,13.773079
199.360368,97,13.813042
64.66166,38,13.829367
218.230949,104,14.181841
208.013783,95,14.22133
228.354811,107,14.266265
171.859154,90,14.303908
118.567336,64,14.329515
224.45613,100,14.37332
215.766591,109,14.420034
136.83733,69,14.449213
215.289426,104,14.492565
219.386628,97,14.53518
214.973206,94,14.576154
174.066617,85,14.614438
211.386816,95,14.655818
200.449196,89,14.694856
238.164351,105,14.739825
208.514145,93,14.78048
215.949682,96,14.822492
208.261779,96,14.864148
207.395303,105,14.910572
237.30365,124,14.964859
207.264715,102,15.009529
191.422757,87,15.04723
208.833182,91,15.087129
235.448136,114,15.136788
228.266651,105,15.181491
205.487472,101,15.224817
191.443516,87,15.262859
243.206343,122,15.316334
201.904196,91,15.356219
202.223623,95,15.397686
226.949726,109,15.445076
208.115175,103,15.489931
235.586711,108,15.835923
210.736982,102,15.878704
224.570412,99,15.920078
215.52019,102,15.96268
218.379727,98,16.003851
297.138526,140,16.061347
228.411553,96,16.101791
224.31744,103,16.145487
220.12401,98,16.186869
221.359659,98,16.228541
229.229741,109,16.273944
227.87408,101,16.316426
231.620007,100,16.358964
198.055634,87,16.395416
196.129935,88,16.431686
191.072298,96,16.472169
225.089916,112,16.52123
204.893733,91,16.560805
224.811112,97,16.60284
207.49648,96,16.64477
216.85663,94,16.685847
204.900993,92,16.726233
209.823107,99,16.769195
228.791409,109,16.816476
125.269035,64,16.844177
230.515437,107,16.888321
220.037151,116,16.938917
122.077545,69,16.968884
199.510768,90,17.008181
221.977871,95,17.050069
263.748439,129,17.106083
223.808176,96,17.148153
223.462587,98,17.495261
215.041242,96,17.537494
213.113584,92,17.577768
254.99131,137,17.638106
239.789836,115,17.688729
236.068282,103,17.733892
223.218071,99,17.777382
217.65209,96,17.819525
217.339564,100,17.862885
195.574823,87,17.900788
275.622657,117,17.953394
175.016736,92,17.993781
213.451672,93,18.034523
209.142174,90,18.07406
237.338374,116,18.124629
222.828,102,18.169147
217.60221,96,18.211366
237.458447,109,18.258731
201.612691,90,18.297765
217.048011,102,18.342538
213.362856,94,18.381727
198.072493,92,18.420727
224.498253,101,18.464383
233.590306,106,18.510773
207.604372,93,18.551351
261.737244,117,18.601976
209.156223,94,18.643326
225.995801,104,18.688503
205.952337,96,18.728634
227.833178,99,18.770514
210.057728,96,18.811574
215.795086,104,18.856911
221.222519,98,19.23364
204.579759,93,19.272647
230.164025,104,19.316348
240.526003,111,19.363344
230.359393,98,19.404458
219.665858,97,19.445384
216.061685,111,19.491734
205.204649,91,19.529869
223.098722,99,19.571431
224.604495,101,19.613935
215.442085,96,19.654499
218.583605,101,19.696236
209.021211,104,19.739737
