#{"env_id": "Hopper-v2", "t_start": 1533039257.8518956}
r,l,t
669.713396,232,24.187219
454.488646,157,24.253248
812.323045,301,24.849486
701.486221,225,24.94521
1078.071139,336,25.089165
385.283507,202,25.177821
898.466981,290,25.303637
689.748138,228,25.40175
878.699057,298,25.530661
1312.846285,459,25.729104
1134.416084,400,25.90287
950.872669,336,26.046907
645.273819,203,26.13415
833.898579,297,26.263113
894.456618,285,26.385168
1004.293144,365,26.545912
828.747316,261,26.658744
1004.441773,379,26.823694
695.000284,228,27.412339
517.408043,174,27.488776
914.421657,316,27.62729
735.196465,237,27.730228
503.345667,163,27.800729
453.224015,163,27.872046
686.194402,214,27.964736
877.145588,296,28.092339
894.721901,309,28.227973
612.019553,192,28.313484
868.436145,260,28.426711
666.208451,234,28.527837
880.395608,298,28.657194
857.966466,271,28.774663
657.075316,219,28.868747
870.679879,312,29.003513
585.887502,231,29.10629
791.56369,245,29.211897
828.621454,274,29.330015
861.903956,301,29.461499
747.159468,267,29.577305
635.556328,206,30.104889
924.108942,294,30.226061
664.789602,218,30.315897
954.504912,344,30.457836
728.586057,245,30.559121
934.124442,304,30.684931
984.378248,363,30.835301
797.331442,248,30.937023
1055.304364,335,31.075431
749.100019,278,31.198228
845.165161,266,31.308331
639.382939,245,31.409155
842.518074,277,31.523797
984.683646,350,31.676872
515.740365,169,31.751014
902.378718,321,31.891219
748.006929,235,31.994539
762.587109,247,32.101209
660.273782,265,32.697189
556.914172,202,32.784693
847.620648,279,32.906639
688.83516,222,33.001958
918.986483,344,33.149101
867.005687,293,33.27213
805.831067,256,33.383239
917.533031,299,33.512976
794.0929,268,33.628093
935.094535,319,33.76669
822.067064,257,33.876933
984.539902,308,34.010151
802.768153,275,34.128576
1243.920833,414,34.309114
843.064739,281,34.426354
932.418056,305,34.544043
1051.290418,337,34.674085
607.118998,221,35.220268
547.705372,224,35.319686
917.527866,315,35.456029
1101.422198,348,35.607181
879.134062,267,35.721809
744.247422,230,35.820803
611.258776,228,35.919117
971.977249,312,36.049725
900.277317,300,36.175903
773.557988,246,36.281283
193.688516,90,36.320342
1266.847738,459,36.51822
1273.94329,462,36.7176
709.072512,228,36.815434
1102.25148,440,37.003607
1040.881522,327,37.143731
864.111778,296,37.269474
1207.869454,436,37.93521
1151.244263,346,38.080107
853.036892,299,38.201487
842.809673,275,38.311886
1730.713627,594,38.565722
905.246164,310,38.697433
840.681386,256,38.807452
897.906889,277,38.925943
866.559326,292,39.050958
785.22483,243,39.155522
744.201018,232,39.255377
643.829807,209,39.343049
805.343895,268,39.454332
653.476845,216,39.5471
1320.176768,458,39.741725
1300.072148,435,39.928649
1292.865914,440,40.612144
804.657731,258,40.717624
1067.206224,377,40.871577
1277.091692,428,41.046153
802.148027,252,41.149209
824.198357,293,41.268837
1092.752273,411,41.437233
882.292001,268,41.551319
1290.206849,438,41.738619
844.031503,265,41.852103
815.538464,265,41.965967
1282.626989,445,42.156156
757.196302,240,42.259703
741.401594,242,42.363264
1440.142233,536,43.091604
907.61711,285,43.213616
842.104661,286,43.335362
1574.372104,534,43.56006
1111.776604,380,43.720909
1218.428612,426,43.902217
1131.482317,395,44.070466
1332.708663,436,44.256869
1084.474156,382,44.420582
918.563516,338,44.568823
817.08225,249,44.675763
231.386719,116,44.726213
1234.236069,411,44.903121
1297.262347,439,45.085305
1080.829608,345,45.712932
1905.388529,679,46.003719
899.645254,289,46.127809
1048.303503,323,46.265795
1474.245929,521,46.486102
1160.043179,401,46.659917
970.09843,313,46.795107
1199.78882,420,46.973372
422.228012,175,47.047912
885.83407,291,47.171837
495.256245,198,47.256789
574.438567,199,47.342112
934.356242,333,47.484022
1013.539054,345,47.632019
1147.270749,372,48.292311
2085.992883,672,48.566756
1276.786457,434,48.744206
1489.143761,537,48.964533
1237.208679,390,49.123358
998.503576,360,49.270459
1440.84259,529,49.487156
1164.909142,414,49.663685
2223.279142,762,49.990495
805.400208,263,50.102029
1022.6983,326,50.240428
1918.590722,720,51.047281
899.408573,302,51.170623
1845.69079,636,51.429109
237.330701,124,51.479838
1009.975794,357,51.624252
1307.042826,415,51.793806
1042.579461,336,51.930787
1153.209147,384,52.087479
1354.945533,467,52.279561
1672.62743,587,52.520093
2097.272356,710,52.811106
1163.834527,392,53.479553
1461.193241,462,53.675521
1153.803648,365,53.831039
231.95926,125,53.884915
1227.435198,418,54.063205
1939.192878,690,54.35758
1866.774194,624,54.62569
1099.370945,361,54.781658
1296.719275,417,54.961242
1264.954878,408,55.134897
2671.100608,908,55.538436
