#{"t_start": 1533039198.3577511, "env_id": "Hopper-v2"}
r,l,t
12.050639,12,3.894904
8.795162,12,3.899934
9.516093,13,3.905493
7.792424,10,3.90962
36.834888,30,3.922174
11.271106,22,3.931626
28.061516,24,3.94207
9.758199,12,3.947386
13.96625,18,3.955378
20.336062,21,3.964605
22.580854,22,3.974411
65.578208,44,3.99373
21.491204,25,4.004775
6.385526,9,4.00878
17.44481,23,4.019002
63.541972,40,4.036724
28.515336,23,4.046804
10.897599,24,4.057369
14.305305,17,4.064719
16.161481,17,4.07221
7.508702,15,4.078903
69.909932,65,4.107389
12.15275,17,4.114804
28.894801,33,4.129522
17.169604,17,4.137028
54.980945,47,4.15789
6.11169,10,4.162319
18.272755,23,4.172618
10.31659,12,4.177818
12.531689,34,4.192982
9.479831,14,4.199151
13.293684,16,4.206232
53.45044,57,4.231101
9.557002,21,4.240464
7.15855,11,4.245388
34.109499,27,4.257255
6.923694,10,4.261595
7.790939,15,4.268244
10.158983,19,4.276661
5.732584,8,4.280123
25.281947,25,4.291194
37.0041,36,4.307252
6.169641,9,4.311118
32.611884,37,4.327475
100.91138,66,4.356216
6.90245,9,4.36026
5.53841,10,4.364707
27.981277,27,4.376806
45.882564,34,4.391748
10.957395,15,4.398344
15.785279,19,4.406709
6.54344,8,4.410241
8.490932,11,4.415019
13.276479,15,4.421536
10.473678,16,4.428868
6.801321,9,4.433038
9.747343,12,4.438293
10.627698,13,4.443936
14.444892,15,4.450536
41.439795,46,4.471067
35.610504,44,4.490631
16.165978,15,4.497278
7.400675,10,4.501669
90.478751,51,4.524116
63.75762,40,4.541454
16.518979,16,4.548596
8.212306,13,4.55436
61.3689,48,4.57542
11.636727,14,4.581553
11.042639,16,4.58865
36.681806,30,4.601918
4.891415,8,4.605426
11.855868,23,4.615648
13.090984,17,4.623254
28.37215,34,4.638488
8.846204,11,4.643363
9.769837,12,4.648567
7.3133,10,4.653088
89.569902,52,4.675972
7.433598,17,4.683508
63.331536,41,4.701417
7.874419,15,4.708464
9.691765,15,4.715154
11.163695,12,4.720399
31.110108,46,4.740629
36.066891,31,4.754304
8.887256,12,4.759536
21.1754,34,4.774746
19.971382,20,4.783602
6.607553,10,4.787972
9.158631,13,4.793782
10.972862,13,4.799534
26.620291,24,4.810146
10.223797,12,4.815367
31.711999,32,4.829358
10.279759,13,4.83498
7.558427,11,4.839854
10.521733,12,4.84515
20.83772,21,4.85448
6.544511,10,4.858825
19.150622,17,4.866416
25.037122,22,4.876164
9.701013,10,4.880675
23.43295,25,4.891382
31.088781,40,4.908922
67.910071,44,4.928118
8.422319,12,4.933411
12.133386,16,4.940511
21.126935,20,4.949364
7.598917,11,4.954255
10.732921,19,4.962694
6.221052,9,4.966597
40.11458,33,4.981175
13.693641,16,4.988269
17.050539,24,4.998934
8.943393,14,5.005201
17.428987,17,5.01271
17.899519,16,5.019785
26.169546,25,5.030861
12.537313,14,5.037068
6.64121,25,5.048163
11.157262,12,5.053519
13.290287,16,5.060648
7.794678,15,5.06725
95.471629,64,5.096197
9.711122,14,5.102249
12.862837,14,5.108492
58.96375,39,5.125559
42.136641,55,5.149812
19.854276,21,5.159266
6.454125,11,5.164229
7.991692,13,5.170065
7.1086,10,5.174446
12.078375,14,5.180534
9.204411,27,5.192525
7.752909,13,5.198165
14.946153,17,5.205614
6.62991,9,5.209462
12.450195,14,5.215523
7.24627,11,5.220417
10.689293,20,5.229259
35.550724,28,5.241526
8.654672,11,5.246304
25.157247,23,5.256532
17.583906,16,5.263566
11.206342,12,5.268854
10.356414,17,5.276236
10.901993,13,5.281942
10.735339,14,5.288156
16.618856,20,5.296883
27.926919,25,5.307779
11.120585,22,5.317529
7.561691,10,5.32184
19.302059,22,5.331661
13.975445,20,5.340561
18.261413,23,5.350841
11.092669,14,5.357003
5.167539,18,5.364995
9.131927,19,5.373459
12.670641,15,5.380078
12.391124,20,5.388898
9.987645,13,5.394509
6.870313,16,5.401699
8.813461,19,5.410181
22.156571,42,5.429006
29.143308,33,5.443794
8.528655,14,5.450033
7.892347,10,5.45431
7.057621,12,5.459713
8.868002,27,5.471749
11.286587,16,5.478878
33.37975,30,5.492048
134.957785,83,5.528454
14.153264,32,5.542609
6.436441,13,5.548357
5.945907,10,5.552796
164.580683,99,5.595944
14.755966,15,5.602495
12.245723,13,5.608263
6.339875,9,5.612282
12.451727,13,5.618029
23.53627,27,5.630067
18.856286,25,5.641294
6.795105,14,5.647607
7.987629,28,5.660072
65.402258,40,5.677806
11.271883,14,5.683943
18.023409,26,5.695605
8.504048,13,5.701269
8.760823,21,5.710486
5.847734,9,5.714573
40.22774,33,5.729236
10.807749,19,5.737712
10.792032,12,5.742975
7.624822,21,5.752328
30.53673,24,5.762961
43.289427,32,5.776824
14.601595,15,5.783638
14.178633,22,5.793449
7.50202,17,5.801015
6.232701,10,5.805478
37.714589,30,5.818694
20.789361,20,5.827697
68.356949,41,5.846036
12.141253,14,5.852159
93.933886,51,5.874628
7.833474,11,5.879339
37.01426,45,5.899373
19.3818,18,5.907364
45.110949,35,5.92273
29.523294,33,5.937525
12.054067,22,5.947231
41.521804,45,6.412784
11.313797,13,6.418587
5.536581,14,6.425024
52.651585,41,6.443384
11.550783,17,6.450781
26.297974,32,6.465051
23.660651,26,6.476517
89.709651,50,6.498306
122.167235,65,6.526674
139.320675,79,6.561512
11.212963,13,6.567239
11.832534,23,6.57771
81.970682,49,6.599419
149.089814,87,6.637844
24.425781,30,6.651263
41.348145,33,6.665855
57.980235,40,6.683724
7.057613,30,6.69712
191.745729,100,6.740737
76.217745,47,6.761003
55.206353,40,6.77882
64.484444,46,6.798908
86.471288,49,6.820331
18.250854,18,6.828158
92.017415,64,6.856481
16.842779,27,6.868602
18.105356,23,6.878865
13.05651,17,6.886465
82.888536,51,6.908329
91.564557,52,6.931151
53.113657,40,6.948995
20.097898,21,6.95831
6.434717,9,6.962221
77.761016,45,6.981791
7.15146,15,6.988483
71.082721,42,7.007137
9.179747,12,7.012266
20.366328,20,7.021151
19.424253,24,7.031923
6.197942,13,7.037756
15.015138,21,7.046935
10.797436,17,7.054444
4.644529,10,7.058886
13.647313,22,7.068689
7.753231,17,7.076292
21.20994,34,7.091436
14.138869,23,7.101696
10.577424,16,7.108691
108.585385,61,7.135204
155.089022,94,7.176665
58.054475,37,7.193089
36.295882,30,7.206426
32.706449,33,7.22118
71.858656,49,7.242466
29.958865,27,7.254325
51.774527,31,7.267984
53.29386,33,7.282518
6.877304,10,7.287105
158.686913,82,7.322849
17.720312,18,7.330709
14.158924,16,7.33771
68.203359,57,7.363007
19.001963,22,7.372618
10.77383,17,7.379951
45.989214,66,7.409056
99.134424,70,7.440325
93.75674,60,7.467203
21.249368,31,7.481061
31.213051,35,7.496526
99.75476,56,7.52099
11.679447,30,7.534358
13.400691,15,7.54091
9.648478,12,7.546197
18.82592,16,7.553229
38.497057,28,7.565622
147.926925,81,7.601543
60.217336,36,7.617602
17.487063,17,7.625187
114.583701,61,7.652081
15.379854,18,7.660094
40.953844,33,7.674628
8.749414,11,7.679512
91.641427,55,7.70343
50.780024,30,7.716779
5.546738,8,7.72033
125.265788,97,7.763539
22.815008,29,7.776751
13.872313,17,7.78431
14.197003,20,7.793342
58.834783,37,7.809867
78.640944,44,7.829131
58.400318,45,7.848879
10.382394,13,7.854588
21.625231,22,7.86428
74.087396,52,7.886955
37.561644,27,7.898818
98.210792,61,7.925923
18.645571,27,7.938043
8.231952,11,7.94291
58.709706,41,7.960948
82.31944,51,7.983437
79.929537,47,8.003923
78.446241,51,8.026511
10.627283,17,8.034032
18.696632,17,8.041525
6.917438,9,8.045476
41.148754,28,8.057891
20.959047,20,8.066713
76.106047,57,8.091851
12.239954,14,8.098039
67.218264,44,8.117528
49.888078,49,8.139086
43.910373,34,8.15411
12.223644,16,8.16122
72.451426,51,8.183498
7.166317,11,8.188285
8.997294,20,8.197104
24.574296,21,8.206486
107.612306,84,8.243613
14.898236,30,8.256808
75.449973,58,8.282317
7.052997,9,8.286307
75.352062,44,8.30572
69.721386,44,8.325154
54.317404,32,8.339278
8.400572,14,8.345532
39.937221,45,8.36541
107.433037,71,8.39714
6.813146,9,8.401093
41.883794,39,8.419173
19.689188,20,8.428295
6.665599,12,8.433689
128.289897,69,8.463876
9.965113,11,8.468788
76.014804,44,8.488258
12.413603,13,8.494105
89.950817,51,8.516411
101.225171,55,8.540664
17.13267,22,8.550439
38.421176,29,8.56333
25.948093,29,8.576106
28.781008,25,8.587038
53.394615,45,8.606888
117.928382,71,9.121175
103.950207,56,9.146687
12.872557,14,9.152971
67.814087,43,9.172023
71.153924,43,9.190933
110.616895,74,9.22175
14.08734,14,9.227761
70.683681,42,9.245364
94.569508,53,9.268039
75.658682,46,9.288491
24.995997,24,9.299171
175.408317,114,9.349172
6.363262,9,9.353112
22.626005,40,9.371054
83.02721,51,9.394021
10.251119,16,9.401188
158.422131,87,9.439448
50.195544,30,9.452852
21.331591,25,9.464147
80.580702,64,9.492541
65.273582,39,9.509703
12.197474,20,9.518622
14.948076,32,9.53309
114.202021,80,9.568116
151.250958,102,9.61443
77.592611,47,9.635284
100.621968,60,9.661589
7.08942,10,9.666009
102.423113,58,9.691669
15.291736,18,9.699727
70.846833,51,9.722232
71.271196,44,9.741767
72.711509,45,9.761823
93.423891,53,9.785182
43.613095,31,9.798674
19.153349,24,9.809398
7.260044,13,9.815261
85.143793,55,9.839569
13.298302,20,9.848419
94.926237,73,9.880409
21.715657,22,9.89029
85.357862,55,9.914787
8.506844,13,9.921295
15.749492,20,9.930337
31.086324,38,9.947137
16.436417,18,9.955128
83.288138,48,9.976133
91.760313,52,9.998962
11.53881,12,10.004251
151.60396,76,10.038234
71.736056,42,10.056906
21.384462,27,10.068933
92.731058,58,10.094492
68.801625,58,10.120567
74.668029,44,10.140294
