entloss,EpisodesSoFar,EpThisIter,EpRewMean,TimestepsSoFar,optimgain,TimeElapsed,ev_tdlam_before,surrgain,entropy,EpLenMean,meankl
0.0,251,251,14.139319777467364,4996,0.030141616,2.9204025268554688,0.012963652610778809,0.030141616,4.240013,17.9,0.008582656
0.0,475,224,27.912503709017347,9970,0.033159662,5.5461225509643555,0.37460243701934814,0.033159662,4.224364,25.725,0.008909362
0.0,618,143,42.24721838700215,14982,0.032319196,8.209827661514282,0.3113623857498169,0.032319196,4.221024,32.8,0.008518952
0.0,734,116,54.8683679218809,19926,0.03313216,10.854914665222168,0.421255886554718,0.03313216,4.19922,39.675,0.008719976
0.0,826,92,88.39125167741285,24901,0.030592754,13.500537633895874,0.3512728214263916,0.030592754,4.179291,54.6,0.008642005
0.0,895,69,127.37151365820687,29999,0.025234692,16.14674139022827,0.37849533557891846,0.025234692,4.1657896,74.225,0.008021316
0.0,953,58,169.62214755729923,34929,0.027034698,18.76813530921936,0.5772102475166321,0.027034698,4.158863,86.4,0.007837986
0.0,1003,50,196.9618043043665,39956,0.021361658,21.397363662719727,0.740373969078064,0.021361658,4.126686,102.4,0.007458591
0.0,1051,48,208.00516266871927,44987,0.022795312,24.04646611213684,0.8457196950912476,0.022795312,4.133544,105.6,0.007038057
0.0,1097,46,226.56168080705964,49989,0.019227682,26.68092107772827,0.9264512360095978,0.019227682,4.1116467,110.775,0.006602198
0.0,1142,45,224.71248039855473,54924,0.024416689,29.356104850769043,0.9623372033238411,0.024416689,4.098223,108.425,0.0074413256
0.0,1186,44,246.18529213988768,59944,0.025856014,31.9683518409729,0.9749393239617348,0.025856014,4.086836,114.025,0.006455726
0.0,1229,43,256.1241614078261,64990,0.025065094,34.582035064697266,0.9782100133597851,0.025065094,4.0974317,117.6,0.006361646
0.0,1269,40,276.2469297683465,69960,0.028179675,37.17742204666138,0.9466467648744583,0.028179675,4.0864263,124.25,0.006939055
0.0,1309,40,295.7655893487223,74986,0.027836002,39.79387331008911,0.944043718278408,0.027836002,4.0815415,125.65,0.0071719335
0.0,1346,37,308.98388259184986,79885,0.025442023,42.43680953979492,0.9607026614248753,0.025442023,4.0607123,132.15,0.006816496
0.0,1384,38,323.22055614086827,84946,0.025012933,45.08755087852478,0.9687204845249653,0.025012933,4.0366273,134.175,0.0053390265
0.0,1420,36,339.92869402895076,89938,0.028472189,47.626012086868286,0.9800652600824833,0.028472189,4.026757,138.425,0.0063425186
0.0,1456,36,344.35268489448276,94900,0.026524426,50.278584241867065,0.9861426809802651,0.026524426,4.0146422,137.65,0.0075169676
0.0,1491,35,368.3075960333325,99884,0.02682529,52.87498497962952,0.986832058057189,0.02682529,3.9660897,142.05,0.0072696237
0.0,1526,35,376.9843155879518,104989,0.025488192,55.432679176330566,0.9534045681357384,0.025488192,3.9664524,145.8,0.0067512025
0.0,1559,33,394.0371847672517,109902,0.021903075,57.98283410072327,0.9842441715300083,0.021903075,3.9399176,149.775,0.005249176
0.0,1592,33,392.1737529151425,114859,0.023991242,60.62830662727356,0.9655795097351074,0.023991242,3.9223638,148.75,0.0048985295
0.0,1625,33,404.4524251006636,119885,0.02670779,63.19872498512268,0.9795951265841722,0.02670779,3.9204152,151.35,0.0056170593
0.0,1657,32,429.46257330453625,124955,0.031921264,65.78973984718323,0.9748420175164938,0.031921264,3.9180458,156.675,0.0065557784
0.0,1686,29,456.08986337196956,129944,0.02347033,68.30049419403076,0.9418599344789982,0.02347033,3.9037304,166.925,0.0058261887
0.0,1714,28,506.8084078641803,134976,0.028420312,70.93499445915222,0.8838901445269585,0.028420312,3.886089,180.75,0.0061446778
0.0,1740,26,534.749736959345,139944,0.025578668,73.53978490829468,0.9542211517691612,0.025578668,3.8447247,187.0,0.00647204
0.0,1764,24,592.3985398329129,144880,0.023677632,76.13934803009033,0.9639771357178688,0.023677632,3.8340883,202.475,0.0059847566
0.0,1786,22,649.4411802921733,149788,0.027276974,78.68255686759949,0.9630687423050404,0.027276974,3.8355944,217.8,0.00609803
0.0,1807,21,701.7055433637988,154822,0.025779102,81.24654865264893,0.9669116958975792,0.025779102,3.8078618,233.575,0.0062605096
0.0,1826,19,756.2788371278077,159900,0.02625362,83.79168319702148,0.9476374015212059,0.02625362,3.76329,252.8,0.0059771882
0.0,1844,18,813.6625332486987,164991,0.02393894,86.39513754844666,0.9618546105921268,0.02393894,3.7578058,273.85,0.0052860407
0.0,1858,14,881.5693616183707,169693,0.021616785,88.91641020774841,0.9300610944628716,0.021616785,3.7363265,295.7,0.0052156425
0.0,1872,14,978.1928621825475,174786,0.022966515,91.47487020492554,0.9675973914563656,0.022966515,3.7280257,328.75,0.0048279357
0.0,1887,15,1018.0940884365484,179749,0.023572832,94.06113862991333,0.9711607396602631,0.023572832,3.7124894,339.3,0.005249887
0.0,1902,15,1025.427719013905,184989,0.022828808,96.63094639778137,0.9001700952649117,0.022828808,3.705947,345.0,0.0048582247
0.0,1913,11,1111.2399193693454,189950,0.028181897,99.18940782546997,0.9652227610349655,0.028181897,3.6821032,373.225,0.005812855
0.0,1926,13,1142.1882134126074,194849,0.03518014,101.79245781898499,0.92725620418787,0.03518014,3.6734805,383.75,0.0061279107
0.0,1937,11,1260.945102687969,199852,0.024044955,104.34139490127563,0.9790926687419415,0.024044955,3.6671278,417.65,0.005404072
0.0,1947,10,1305.2494725085717,204679,0.017069736,106.88206124305725,0.9295223951339722,0.017069736,3.6739151,430.1,0.005648766
0.0,1958,11,1372.1663614405845,209931,0.028338091,109.4230625629425,0.9344246983528137,0.028338091,3.657957,450.5,0.005523487
0.0,1967,9,1470.1081767018518,214659,0.026140906,111.97436356544495,0.9697418939322233,0.026140906,3.6440153,482.625,0.0059549715
