#{"env_id": "Hopper-v2", "t_start": 1533045696.2523017}
r,l,t
12.050639,12,3.884435
8.795162,12,3.889414
9.516093,13,3.894907
7.792424,10,3.898991
36.834888,30,3.911355
11.271106,22,3.920592
28.061516,24,3.930474
9.758199,12,3.9355
13.96625,18,3.943038
20.336062,21,3.951738
22.580854,22,3.961009
65.578208,44,3.97934
21.491204,25,3.989811
6.385526,9,3.993608
17.44481,23,4.003268
63.541972,40,4.019971
28.515336,23,4.029487
10.897599,24,4.039473
14.305305,17,4.046488
16.161481,17,4.053568
7.508702,15,4.060049
69.909932,65,4.08723
12.15275,17,4.09426
28.894801,33,4.108355
17.169604,17,4.115476
54.980945,47,4.135219
6.11169,10,4.139411
18.272755,23,4.149128
10.31659,12,4.154043
12.531689,34,4.168382
9.479831,14,4.17422
13.293684,16,4.180892
53.45044,57,4.204347
9.557002,21,4.213196
7.15855,11,4.21788
34.109499,27,4.22908
6.923694,10,4.233212
7.790939,15,4.239499
10.158983,19,4.24746
5.732584,8,4.250741
25.281947,25,4.261223
37.0041,36,4.276418
6.169641,9,4.280083
32.611884,37,4.295551
100.91138,66,4.322795
6.90245,9,4.326612
5.53841,10,4.330808
27.981277,27,4.34216
45.882564,34,4.356072
10.957395,15,4.362525
15.785279,19,4.370717
6.54344,8,4.374219
8.490932,11,4.378943
13.276479,15,4.384941
10.473678,16,4.391881
6.801321,9,4.395866
9.747343,12,4.400972
10.627698,13,4.406609
14.444892,15,4.413001
41.439795,46,4.433191
35.610504,44,4.452582
16.165978,15,4.459146
7.400675,10,4.463467
90.478751,51,4.485489
63.75762,40,4.502416
16.518979,16,4.509444
8.212306,13,4.515113
61.3689,48,4.535438
11.636727,14,4.541487
11.042639,16,4.548533
36.681806,30,4.561686
4.891415,8,4.565224
11.855868,23,4.575347
13.090984,17,4.582907
28.37215,34,4.597833
8.846204,11,4.602588
9.769837,12,4.607756
7.3133,10,4.612238
89.569902,52,4.634876
7.433598,17,4.642415
63.331536,41,4.660394
7.874419,15,4.667252
9.691765,15,4.673865
11.163695,12,4.679083
31.110108,46,4.699366
36.066891,31,4.713369
8.887256,12,4.718626
21.1754,34,4.733883
19.971382,20,4.742731
6.607553,10,4.74711
9.158631,13,4.752886
10.972862,13,4.758597
26.620291,24,4.769135
10.223797,12,4.774354
31.711999,32,4.788055
10.279759,13,4.793677
7.558427,11,4.798532
10.521733,12,4.80381
20.83772,21,4.81311
6.544511,10,4.817415
19.150622,17,4.824989
25.037122,22,4.834688
9.701013,10,4.839187
23.43295,25,4.850164
31.088781,40,4.867856
67.910071,44,4.887227
8.422319,12,4.892528
12.133386,16,4.899596
21.126935,20,4.908429
7.598917,11,4.913301
10.732921,19,4.921706
6.221052,9,4.925611
40.11458,33,4.940089
13.693641,16,4.94718
17.050539,24,4.957789
8.943393,14,4.964052
17.428987,17,4.971543
17.899519,16,4.978584
26.169546,25,4.989659
12.537313,14,4.995754
6.64121,25,5.006738
11.157262,12,5.012074
13.290287,16,5.01919
7.794678,15,5.025732
95.471629,64,5.054324
9.711122,14,5.060351
12.862837,14,5.066581
58.96375,39,5.083557
42.136641,55,5.107625
19.854276,21,5.116983
6.454125,11,5.121907
7.991692,13,5.127682
7.1086,10,5.13201
12.078375,14,5.138049
9.204411,27,5.14997
7.752909,13,5.155596
14.946153,17,5.162984
6.62991,9,5.166853
12.450195,14,5.172879
7.24627,11,5.177754
10.689293,20,5.186545
35.550724,28,5.198695
8.654672,11,5.203434
25.157247,23,5.213614
17.583906,16,5.220622
11.206342,12,5.225882
10.356414,17,5.233247
10.901993,13,5.238926
10.735339,14,5.245114
16.618856,20,5.253831
27.926919,25,5.264796
11.120585,22,5.274543
7.561691,10,5.27884
19.302059,22,5.288619
13.975445,20,5.297461
18.261413,23,5.307695
11.092669,14,5.313794
5.167539,18,5.321756
9.131927,19,5.330169
12.670641,15,5.336744
12.391124,20,5.34562
9.987645,13,5.351199
6.870313,16,5.358359
8.813461,19,5.366818
22.156571,42,5.385266
29.143308,33,5.399792
8.528655,14,5.40596
7.892347,10,5.410216
7.057621,12,5.41557
8.868002,27,5.427507
11.286587,16,5.43457
33.37975,30,5.447693
134.957785,83,5.483795
14.153264,32,5.497827
6.436441,13,5.503557
5.945907,10,5.507983
164.580683,99,5.550733
14.755966,15,5.55723
12.245723,13,5.562974
6.339875,9,5.566988
12.451727,13,5.572714
23.53627,27,5.584657
18.856286,25,5.595701
6.795105,14,5.601932
7.987629,28,5.614282
65.402258,40,5.631855
11.271883,14,5.637961
18.023409,26,5.649523
8.504048,13,5.65514
8.760823,21,5.664336
5.847734,9,5.668388
40.22774,33,5.682925
10.807749,19,5.691313
10.792032,12,5.696639
7.624822,21,5.705969
30.53673,24,5.716703
43.289427,32,5.730578
14.601595,15,5.737235
14.178633,22,5.746989
7.50202,17,5.75449
6.232701,10,5.758938
37.714589,30,5.772115
20.789361,20,5.781087
68.356949,41,5.799175
12.141253,14,5.805285
93.933886,51,5.827688
7.833474,11,5.832371
37.01426,45,5.852306
19.3818,18,5.860311
45.110949,35,5.876542
29.523294,33,5.891478
12.054067,22,5.901088
41.521804,45,6.381295
11.313797,13,6.387071
5.536581,14,6.393454
52.651585,41,6.411081
11.550783,17,6.418263
26.297974,32,6.431875
23.660651,26,6.442897
89.709651,50,6.464259
122.167235,65,6.491359
139.320675,79,6.524553
11.212963,13,6.529986
11.832534,23,6.539781
81.970682,49,6.560374
149.089814,87,6.597012
24.425781,30,6.609987
41.348145,33,6.623918
57.980235,40,6.640937
7.057613,30,6.653543
191.745729,100,6.695264
76.217745,47,6.714671
55.206353,40,6.731717
64.484444,46,6.750848
86.471288,49,6.771328
18.250854,18,6.778812
92.017415,64,6.805813
16.842779,27,6.817386
18.105356,23,6.827176
13.05651,17,6.834437
82.888536,51,6.855244
91.564557,52,6.877
53.113657,40,6.89399
20.097898,21,6.902894
6.434717,9,6.906623
77.761016,45,6.925296
7.15146,15,6.931724
71.082721,42,6.949483
9.179747,12,6.954374
20.366328,20,6.962845
19.424253,24,6.97311
6.197942,13,6.978661
15.015138,21,6.987391
10.797436,17,6.994556
4.644529,10,6.9988
13.647313,22,7.00815
7.753231,17,7.015391
21.20994,34,7.029806
14.138869,23,7.039559
10.577424,16,7.046224
108.585385,61,7.072038
